"LON","LAT","PARAMETER","YEAR","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","ANN"
114.9,4.9,"T2M",1981,25.76,26.02,26.8,27.14,27.38,27.36,27.27,27.65,27.16,26.95,26.66,26.75,26.91
114.9,4.9,"T2M",1982,25.84,25.72,26.4,27.14,27.7,27.48,27.39,27.38,27.33,26.87,27.28,27.32,26.99
114.9,4.9,"T2M",1983,26.55,26.69,27.42,28.19,27.84,27.73,27.29,27.38,26.76,26.84,26.19,25.84,27.06
114.9,4.9,"T2M",1984,25.6,25.87,26.19,26.92,26.61,26.87,26.54,27.12,26.41,26.2,26.34,26.32,26.42
114.9,4.9,"T2M",1985,25.96,26.63,26.83,26.83,27.32,27.22,26.55,27.33,26.74,26.44,26.63,26.18,26.72
114.9,4.9,"T2M",1986,25.81,25.86,26.28,27.06,27.74,27.36,27.33,27.03,26.77,26.54,25.98,26.77,26.71
114.9,4.9,"T2M",1987,26.04,25.36,27.03,27.64,27.14,27.93,27.69,27.02,27.72,27.37,27.27,27.25,27.12
114.9,4.9,"T2M",1988,27.11,26.8,27.21,27.9,27.71,27.64,27.22,27.47,27.19,26.99,26.81,26.11,27.18
114.9,4.9,"T2M",1989,26.52,25.94,26.39,26.96,27.1,26.89,26.89,27.01,27.39,26.94,27.04,26.66,26.81
114.9,4.9,"T2M",1990,26.01,26.44,26.55,27.89,27.78,27.49,27.4,27.36,27.29,27.41,26.76,27.14,27.13
114.9,4.9,"T2M",1991,26.33,26.26,27.25,27.41,27.95,28.1,27.65,27.84,27.29,26.94,26.8,26.94,27.23
114.9,4.9,"T2M",1992,26.24,26.37,27.74,28.13,27.75,27.4,27.17,27.57,27.33,26.39,26.63,26.85,27.13
114.9,4.9,"T2M",1993,26.02,25.79,26.54,27.32,27.4,27.93,27.23,27.38,26.91,26.62,27.03,26.81,26.91
114.9,4.9,"T2M",1994,26.77,26.68,26.72,27.12,27.62,27.45,27.68,27.31,27.22,26.83,27.44,26.73,27.13
114.9,4.9,"T2M",1995,26.55,26.37,26.81,27.91,27.86,27.73,27.4,27.28,27.39,27.26,26.97,26.32,27.15
114.9,4.9,"T2M",1996,25.89,25.83,26.92,27.26,27.94,27.55,27.74,27.31,27.39,26.91,26.69,26.7,27.01
114.9,4.9,"T2M",1997,26.17,26.29,26.8,27.13,27.69,27.95,27.5,28.07,27.52,27.29,27.77,27.48,27.3
114.9,4.9,"T2M",1998,26.86,26.97,28.49,29.15,29,27.97,27.48,27.15,27.54,27.3,26.83,26.81,27.63
114.9,4.9,"T2M",1999,26.82,26.43,26.66,27.34,27.09,27.42,27.24,27.24,27.34,26.87,26.73,26.73,26.99
